Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
375098.4412,-2.113575269,70.30320341,156.7973417,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
348718.419,1.942956349,62.61458333,188.2471892,28,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
398916.3726,5.43313172,62.39908154,197.9807721,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
410573.3742,12.56460648,68.95763889,135.3763503,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
492583.7764,17.91901882,74.3156362,192.3388217,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
521249.1314,22.21377315,69.30104167,225.3063657,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
564421.9856,26.66420251,66.30790771,284.5905765,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
560071.492,23.04596774,77.16319444,219.8065636,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
509359.9751,20.35770833,84.16527778,153.3049769,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
437402.5895,12.89782706,75.73711918,157.4538157,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
394991.0491,9.760949074,74.10636574,128.5277006,30,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
385046.8664,5.489852151,75.55857975,140.3433766,31,9.455503542,10.04524485,0.492359885,0.00031861,6.471773849,0.738086617
403798.1385,-2.113575269,70.30320341,156.7973417,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
376530.4319,1.942956349,62.61458333,188.2471892,28,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
431267.9281,5.43313172,62.39908154,197.9807721,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
443905.6207,12.56460648,68.95763889,135.3763503,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
532550.8825,17.91901882,74.3156362,192.3388217,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
564160.4976,22.21377315,69.30104167,225.3063657,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
611420.9074,26.66420251,66.30790771,284.5905765,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
607552.0586,23.04596774,77.16319444,219.8065636,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
551535.8353,20.35770833,84.16527778,153.3049769,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
471735.2289,12.89782706,75.73711918,157.4538157,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
426034.749,9.760949074,74.10636574,128.5277006,30,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
415829.6532,5.489852151,75.55857975,140.3433766,31,9.482202623,11.93570921,0.703248811,0.00028734,5.966185387,0.875260983
429879.7145,-2.113575269,70.30320341,156.7973417,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
401198.4733,1.942956349,62.61458333,188.2471892,28,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
460205.4977,5.43313172,62.39908154,197.9807721,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
475817.0334,12.56460648,68.95763889,135.3763503,30,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
574444.7152,17.91901882,74.3156362,192.3388217,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
611191.6431,22.21377315,69.30104167,225.3063657,30,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
665864.6675,26.66420251,66.30790771,284.5905765,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
660190.7439,23.04596774,77.16319444,219.8065636,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
597707.5672,20.35770833,84.16527778,153.3049769,30,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
506080.7254,12.89782706,75.73711918,157.4538157,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
455234.3775,9.760949074,74.10636574,128.5277006,30,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
443178.7118,5.489852151,75.55857975,140.3433766,31,10.50309522,12.48100668,0.518423391,0.000273168,5.39018484,0.65159973
403006.0208,-2.113575269,70.30320341,156.7973417,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
375780.6891,1.942956349,62.61458333,188.2471892,28,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
430267.3097,5.43313172,62.39908154,197.9807721,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
444379.9422,12.56460648,68.95763889,135.3763503,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
535313.915,17.91901882,74.3156362,192.3388217,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
567787.0368,22.21377315,69.30104167,225.3063657,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
618431.717,26.66420251,66.30790771,284.5905765,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
611922.7041,23.04596774,77.16319444,219.8065636,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
555372.5729,20.35770833,84.16527778,153.3049769,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
472783.3915,12.89782706,75.73711918,157.4538157,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
426027.7034,9.760949074,74.10636574,128.5277006,30,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
415322.2233,5.489852151,75.55857975,140.3433766,31,8.768354781,12.29771421,0.630560139,0.000265945,5.696292682,0.658855141
409462.3344,-2.113575269,70.30320341,156.7973417,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
382371.2176,1.942956349,62.61458333,188.2471892,28,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
438912.2623,5.43313172,62.39908154,197.9807721,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
448184.271,12.56460648,68.95763889,135.3763503,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
534026.8907,17.91901882,74.3156362,192.3388217,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
563395.9699,22.21377315,69.30104167,225.3063657,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
604552.1162,26.66420251,66.30790771,284.5905765,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
605417.1562,23.04596774,77.16319444,219.8065636,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
549808.4199,20.35770833,84.16527778,153.3049769,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
475891.4672,12.89782706,75.73711918,157.4538157,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
431311.1655,9.760949074,74.10636574,128.5277006,30,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
421444.5608,5.489852151,75.55857975,140.3433766,31,12.00920042,10.59849486,0.714062242,0.000254284,6.59802007,0.90253269
401725.4574,-2.113575269,70.30320341,156.7973417,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
375558.365,1.942956349,62.61458333,188.2471892,28,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
431144.2712,5.43313172,62.39908154,197.9807721,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
450570.4323,12.56460648,68.95763889,135.3763503,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
550760.6766,17.91901882,74.3156362,192.3388217,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
591285.7909,22.21377315,69.30104167,225.3063657,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
648342.3525,26.66420251,66.30790771,284.5905765,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
640048.865,23.04596774,77.16319444,219.8065636,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
578504.4687,20.35770833,84.16527778,153.3049769,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
478549.3595,12.89782706,75.73711918,157.4538157,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
428042.0877,9.760949074,74.10636574,128.5277006,30,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
414913.3112,5.489852151,75.55857975,140.3433766,31,12.60033709,9.694701127,0.665204178,0.00032293,4.700778889,0.917656945
412583.5459,-2.113575269,70.30320341,156.7973417,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
385783.7543,1.942956349,62.61458333,188.2471892,28,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
442649.2251,5.43313172,62.39908154,197.9807721,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
461428.9265,12.56460648,68.95763889,135.3763503,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
561779.0217,17.91901882,74.3156362,192.3388217,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
601879.3598,22.21377315,69.30104167,225.3063657,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
658826.2616,26.66420251,66.30790771,284.5905765,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
651670.4455,23.04596774,77.16319444,219.8065636,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
589439.2053,20.35770833,84.16527778,153.3049769,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
490371.9468,12.89782706,75.73711918,157.4538157,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
439220.3033,9.760949074,74.10636574,128.5277006,30,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
426351.1508,5.489852151,75.55857975,140.3433766,31,11.16128053,11.27956698,0.657862794,0.000249671,4.804549433,0.638391737
366204.2076,-2.113575269,70.30320341,156.7973417,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
341951.0041,1.942956349,62.61458333,188.2471892,28,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
391313.2443,5.43313172,62.39908154,197.9807721,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
414030.1922,12.56460648,68.95763889,135.3763503,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
511628.707,17.91901882,74.3156362,192.3388217,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
552547.3461,22.21377315,69.30104167,225.3063657,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
612319.5275,26.66420251,66.30790771,284.5905765,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
599175.2064,23.04596774,77.16319444,219.8065636,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
541596.8416,20.35770833,84.16527778,153.3049769,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
441019.2413,12.89782706,75.73711918,157.4538157,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
391867.3937,9.760949074,74.10636574,128.5277006,30,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
378516.9998,5.489852151,75.55857975,140.3433766,31,10.25367121,9.159610728,0.57192727,0.00030845,4.403809949,0.829889108
405553.2741,-2.113575269,70.30320341,156.7973417,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
379160.7127,1.942956349,62.61458333,188.2471892,28,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
435280.3702,5.43313172,62.39908154,197.9807721,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
454817.2467,12.56460648,68.95763889,135.3763503,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
555801.1053,17.91901882,74.3156362,192.3388217,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
596351.0159,22.21377315,69.30104167,225.3063657,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
653427.6402,26.66420251,66.30790771,284.5905765,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
645635.1014,23.04596774,77.16319444,219.8065636,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
583434.9679,20.35770833,84.16527778,153.3049769,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
482883.9682,12.89782706,75.73711918,157.4538157,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
431954.6823,9.760949074,74.10636574,128.5277006,30,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
418793.069,5.489852151,75.55857975,140.3433766,31,12.70554505,9.849554468,0.678653822,0.000334199,4.69233901,0.911823816
411190.7111,-2.113575269,70.30320341,156.7973417,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
383236.1662,1.942956349,62.61458333,188.2471892,28,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
439065.0779,5.43313172,62.39908154,197.9807721,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
456723.4478,12.56460648,68.95763889,135.3763503,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
554187.414,17.91901882,74.3156362,192.3388217,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
592159.2516,22.21377315,69.30104167,225.3063657,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
647718.7606,26.66420251,66.30790771,284.5905765,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
640190.3548,23.04596774,77.16319444,219.8065636,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
579596.0808,20.35770833,84.16527778,153.3049769,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
485465.0822,12.89782706,75.73711918,157.4538157,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
435536.1118,9.760949074,74.10636574,128.5277006,30,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
423505.4636,5.489852151,75.55857975,140.3433766,31,10.33108032,11.60310037,0.580753872,0.000358007,5.092168081,0.931309054
417915.8578,-2.113575269,70.30320341,156.7973417,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
389195.9382,1.942956349,62.61458333,188.2471892,28,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
446568.3492,5.43313172,62.39908154,197.9807721,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
457282.4728,12.56460648,68.95763889,135.3763503,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
546569.7442,17.91901882,74.3156362,192.3388217,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
577572.0499,22.21377315,69.30104167,225.3063657,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
622101.5317,26.66420251,66.30790771,284.5905765,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
621545.1039,23.04596774,77.16319444,219.8065636,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
563867.1819,20.35770833,84.16527778,153.3049769,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
485894.108,12.89782706,75.73711918,157.4538157,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
439580.4622,9.760949074,74.10636574,128.5277006,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
429137.7188,5.489852151,75.55857975,140.3433766,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
374658.2432,-2.113575269,70.30320341,156.7973417,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
348286.1598,1.942956349,62.61458333,188.2471892,28,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
397956.0251,5.43313172,62.39908154,197.9807721,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
410506.8511,12.56460648,68.95763889,135.3763503,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
493459.3928,17.91901882,74.3156362,192.3388217,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
522856.4698,22.21377315,69.30104167,225.3063657,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
568131.56,26.66420251,66.30790771,284.5905765,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
562550.0056,23.04596774,77.16319444,219.8065636,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
510991.8946,20.35770833,84.16527778,153.3049769,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
437464.0857,12.89782706,75.73711918,157.4538157,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
394507.8698,9.760949074,74.10636574,128.5277006,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
384538.6798,5.489852151,75.55857975,140.3433766,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
365694.1538,-2.113575269,70.30320341,156.7973417,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
340905.8184,1.942956349,62.61458333,188.2471892,28,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
390270.2517,5.43313172,62.39908154,197.9807721,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
403709.3274,12.56460648,68.95763889,135.3763503,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
486996.3343,17.91901882,74.3156362,192.3388217,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
517294.9337,22.21377315,69.30104167,225.3063657,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
562947.6321,26.66420251,66.30790771,284.5905765,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
557021.7773,23.04596774,77.16319444,219.8065636,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
505914.5186,20.35770833,84.16527778,153.3049769,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
429558.1783,12.89782706,75.73711918,157.4538157,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
386898.9416,9.760949074,74.10636574,128.5277006,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
376624.1266,5.489852151,75.55857975,140.3433766,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
423687.3333,-2.113575269,70.30320341,156.7973417,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
396168.3846,1.942956349,62.61458333,188.2471892,28,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
454653.1321,5.43313172,62.39908154,197.9807721,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
473028.9812,12.56460648,68.95763889,135.3763503,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
575123.0214,17.91901882,74.3156362,192.3388217,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
615019.0509,22.21377315,69.30104167,225.3063657,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
673214.0052,26.66420251,66.30790771,284.5905765,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
665978.4377,23.04596774,77.16319444,219.8065636,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
602194.8418,20.35770833,84.16527778,153.3049769,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
502503.7532,12.89782706,75.73711918,157.4538157,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
450554.1935,9.760949074,74.10636574,128.5277006,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
437720.6552,5.489852151,75.55857975,140.3433766,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
393666.3636,-2.113575269,70.30320341,156.7973417,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
367176.7001,1.942956349,62.61458333,188.2471892,28,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
421337.0258,5.43313172,62.39908154,197.9807721,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
437818.3929,12.56460648,68.95763889,135.3763503,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
532223.4665,17.91901882,74.3156362,192.3388217,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
568323.6614,22.21377315,69.30104167,225.3063657,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
619320.6642,26.66420251,66.30790771,284.5905765,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
613554.3418,23.04596774,77.16319444,219.8065636,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
555896.9823,20.35770833,84.16527778,153.3049769,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
465917.5957,12.89782706,75.73711918,157.4538157,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
417926.1538,9.760949074,74.10636574,128.5277006,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
